"english","conlang","etymology"
"to kindle fire, make light","סְקָאטֵאוֵין","Crucial Algonquian verb—fire-making was central to daily life and ceremony. With נֶ־: 'we kindle.'"
"bear","מַחְקוֹשׁוּ","Eastern Algonquian word for bear. Animal vocabulary from the land."
"little bear (diminutive)","מַחְקוֹשׁוּאֵשׁ","Bear with diminutive suffix -אֵשׁ. Endearing, small, young."
"s/he rests, lies down","אַאנְוֵי","Algonquian verb with 3rd person marking. Domestic, restful vocabulary."
"shoe","נַעַל","Hebrew na'al. Domestic vocabulary."
"our shoes (possessive)","נְנַעַל","Hebrew noun נַעַל with Algonquian possessive prefix נְ־ ('our'). Hybrid morphology."
"at our shoe-place (locative)","נְנַעֲלִינְק","Triple hybrid: Hebrew noun + Algonquian possessive prefix + Algonquian locative suffix. Languages blending."
"roofs","גַּגִּים","Hebrew gagim with masculine plural. Architectural vocabulary."
"they gather (animate plural)","מָאוֵינַאק","Algonquian verb with animate plural agreement -אַק. The roofs gather as living agents."
"gardens","גַּנִּים","Hebrew ganim with masculine plural. Horticultural vocabulary."
"they rise, grow (animate plural)","נִיתָּאוֵינַאק","Algonquian verb for rising/growing with animate plural agreement. Gardens rise as living things."
"boxes","אַרְגַּזִּין","Hebrew plural. Container vocabulary."
"assemblies, councils","עֲצוֹת","Hebrew atzot. Abstract governance vocabulary requiring formal register."
"to arrange (participle)","מְסַדְּרוֹת","Hebrew participle. Councils deliberate in Hebrew."
"measure, balance","מִדָּה","Hebrew midah. Abstract ethical measurement."
"hearth, fire-place (locative)","אִישְׁקוֹטֵאוִינְק / אִישְׁקוֹטֵאוּ","Algonquian ishkotew (fire) with locative suffix. The fire that warms everyone. Base form for stove/hearth."
"s/he calls, sounds","טֵפְוֵי","Algonquian voice/sound verb with 3rd person marking."
"kindness, lovingkindness, covenant loyalty","חֶסֶד","Hebrew chesed, untranslatable. Faithful love, covenant loyalty, lovingkindness."
"the people (animate plural)","לֵנוּוָאק","Lenape lənuw (person) with animate plural -אַק. How the people are named."
"they go, walk on, continue","פֵּימוֹסֵאוַאק","Algonquian motion verb with plural agreement. The people go on."
"hands","יָדַיִם","Hebrew yadayim, dual form. Body vocabulary."
"work, labor","עֲבוֹדָה","Hebrew avodah. Work as concept."
"voices","קוֹלוֹת","Hebrew kolot, plural. Sound as abstract concept."
"together, gathered, joined","מַאמָאוֵי","Algonquian adverb for unity, gathering together. Rich social vocabulary."
"and it came to pass","וַיְהִי","Biblical Hebrew narrative opener. Kicks the wayyiqtol engine into gear—from here, every וַיִּ־ pushes the story forward."
"three","שְׁלֹשָׁה","Hebrew number. Sacred/formal counting."
"was set, arranged (passive)","וַיֵּעָרֶךְ","Hebrew wayyiqtol passive. The narrative engine."
"they sat","וַיֵּשְׁבוּ","Hebrew wayyiqtol. Sequential narrative action."
"they lifted","וַיִּשְׂאוּ","Hebrew wayyiqtol. Each verb advances time."
"cups (animate plural)","מִנִיקְוָאגַנַאק","Algonquian minəkwaagan (cup) with animate plural -אַק. Cups are alive—they hold drink for people, participate in hospitality."
"suddenly","פִּתְאֹם","Hebrew pit'om. Temporal adverb."
"it became dark","וַיֶּחְשַׁךְ","Hebrew wayyiqtol for darkness coming."
"they stood still","וַיַּעַמְדוּ דּוּם","Hebrew phrase: stood + still. The frozen moment."
"phone, telephone","טֵלֶפּוּן","Modern loanword adapted to Hebrew orthography."
"phone-light (compound)","אוֹר־טֵלֶפּוּן","Hebrew-style compound: light + phone. Modern life, ancient grammar."
"this one (proximate)","יוֹ","Discourse tracking particle marking the current center of narrative attention. No name needed."
"that one (obviative)","יוֹוָא","Discourse tracking particle with obviative suffix -וָא. The other salient third person, 'offstage.'"
"s/he blinked","וַיִּמְצְמֵץ","Hebrew wayyiqtol. Rapid slapstick action."
"s/he lurched, was pushed","וַיִּדָּחֵף","Hebrew wayyiqtol reflexive/passive. Physical comedy."
"knee","בֶּרֶךְ","Hebrew berekh. Body vocabulary."
"they jumped","וַיִּקְפְּצוּ","Hebrew wayyiqtol. More slapstick momentum."
"s/he sought, looked for","נָאטוֹנֵי","Algonquian verb for seeking. Can enter wayyiqtol frame as וַיְּנָאטוֹנֵי."
"candle, light-making-thing","וָאסָאקוֹנֵינְדִיגַן","Fully Algonquian compound: waasaakonenjigan, 'thing that makes light.' Ceremonial object."
"match","גַּפְרוּר","Hebrew gafrur. Domestic fire-making."
"smoke alarm (compound)","אַזְעָקַת־עָשָׁן","Hebrew compound: cry-of-smoke. Modern device, ancient pattern."
"its cry, its voice","קוֹלָהּ","Hebrew noun with feminine possessive suffix. The alarm's voice."
"to help","עֶזְרָה","Hebrew noun used as infinitive complement: לְעֶזְרָה 'to help.'"
"breaker, switch","מַפְסֵק","Hebrew mafsek. Technical vocabulary."
"door","דֶּלֶת","Hebrew delet. Architectural vocabulary."
"door-place (locative)","דֶּלֶטִינְק","Hebrew noun + Algonquian locative suffix. Hybrid morphology in action."
"wrong, mistaken","שְׁגוּיָה","Hebrew adjective."
"coats","מְעִילִים","Hebrew me'ilim, plural. Clothing vocabulary."
"sleeves","שְּׂרָוָלִים","Hebrew sharvulim, plural. Clothing vocabulary."
"the dark, darkness","הַחֹשֶׁךְ","Hebrew hachoshekh with article. Abstract/spiritual vocabulary."
"lantern","פָּנַאס","Loanword adapted to Hebrew. Light-bearing object."
"like a warning","כְּאַזְהָרָה","Hebrew simile: כְּ (like) + אַזְהָרָה (warning). Comparative structure."
"shadows","צְלָלִים","Hebrew tzəlalim. Abstract, eerie vocabulary."
"faces","פָּנִים","Hebrew panim. Abstract/psychological vocabulary."
"towel","מַגֶּבֶת","Hebrew magevet. Domestic vocabulary."
"spoon hanger","מַתְלֵה כַּפּוֹת","Hebrew compound: hanger + spoons."
"spoons","כַּפּוֹת","Hebrew kapot. Domestic vocabulary."
"the spoons rang/sang","וַיִּנַחְקוֹהֻמִיּוּ הַכַּפּוֹת","Algonquian verb in wayyiqtol frame! The singing/ringing verb describing struck spoons."
"lid, cover","מִכְסֶה","Hebrew mikhseh. Domestic vocabulary."
"it thundered, clanged","וַיִּרְעַם","Hebrew wayyiqtol. Sound of impact."
"pot","סִּיר","Hebrew sir. Cooking vocabulary."
"it boiled","וַיִּגַּעַשׁ","Hebrew wayyiqtol for bubbling, boiling action."
"it spilled, overflowed","וַיִּגְּלֹשׁ","Hebrew wayyiqtol for spilling over."
"water","מְבּוּי","Munsee mbuy. Core element vocabulary from the land. Prenasalized consonant preserved."
"floor","רִצְפָּה","Hebrew ritzpah. Architectural vocabulary."
"shining, bright","מַבְרִיק","Hebrew adjective/participle."
"s/he stepped","וַיִּדְרֹךְ","Hebrew wayyiqtol for stepping."
"s/he slid","וַיִּגְלַשׁ","Hebrew wayyiqtol for sliding. Comic repetition possible."
"s/he sat hard","וַיֵּשֶׁב קָשֶׁה","Hebrew phrase: sat + hard. Physical comedy."
"s/he laughed","וַיִּצְחַק","Hebrew wayyiqtol for laughter."
"s/he rose, got up","וַיָּקוּם","Hebrew wayyiqtol for rising."
"still, more, again","עוֹד","Hebrew od. Continuative particle."
"s/he escaped","וַיִּמָּלֵט","Hebrew wayyiqtol for escaping."
"back, returning","חָזָר","Hebrew adverb for returning motion."
"foot","רֶגֶל","Hebrew regel. Body vocabulary."
"the wet (substantive)","הָרָטוֹב","Hebrew adjective used as noun with article."
"s/he slipped","וַיַּחְלִיק","Hebrew wayyiqtol for slipping."
"they flew","וַיָּעֻפוּ","Hebrew wayyiqtol for flying/scattering."
"they scattered","וַיִּתְפַּזְּרוּ","Hebrew wayyiqtol for dispersing."
"like stones","כַּאֲסוּנַאק","Hebrew comparative כְּ + Algonquian אֲסוּן (stone) + animate plural -אַק. Stones are animate—they participate in the world."
"stone/stones","אֲסוּן / אֲסוּנַאק","Lenape asun. Takes animate plural because stones matter, they're participants in the world."
"s/he knelt","וַיִּכְרַע","Hebrew wayyiqtol for kneeling."
"to gather, collect","לְקַבֵּץ","Hebrew infinitive."
"it rolled","וַיִּתְגַּלְגֵּל","Hebrew wayyiqtol for rolling."
"it flashed","וַיַּבְרֵק","Hebrew wayyiqtol for flashing."
"couch, sofa","סַפָּה","Hebrew sapah. Furniture vocabulary."
"it lit, illuminated","וַיָּאֶר","Hebrew wayyiqtol for lighting up."
"from below","מִלְּמַטָּה","Hebrew prepositional phrase."
"ankles","קַרְסֻלַּיִם","Hebrew karsulayim, dual form. Body vocabulary."
"they danced","וַיִּרְקְדוּ","Hebrew wayyiqtol for dancing."
"without intention, unwillingly","בְּלִי רָצוֹן","Hebrew phrase: without + will. Abstract/psychological."
"power, strength, electricity","כֹּחַ","Hebrew koach. Abstract/physical force vocabulary."
"it returned","וַיָּשָׁב","Hebrew wayyiqtol for returning."
"they were lit, came on","וַיֵּאֹרוּ","Hebrew wayyiqtol passive for lights coming on."
"they were revealed","וַיִּגָּלוּ","Hebrew wayyiqtol passive. Sudden exposure."
"grasping, clutching","אָחוּז","Hebrew passive participle. State of holding."
"coat","מְעִיל","Hebrew me'il, singular."
"kneeling","כֹּרֵעַ","Hebrew participle. State of being down."
"among, between","בֵּין","Hebrew preposition."
"hissing, whistling","שׁוֹרֵק","Hebrew participle for hissing sound."
"edge, lip, rim","שָׂפָה","Hebrew safah. Edge of container."
"they saw, looked","וַיִּרְאוּ","Hebrew wayyiqtol for seeing."
"they laughed (together)","וַיִּצְחְקוּ","Hebrew wayyiqtol plural. Shared laughter without specified subject."
"and it shall be (consequential)","וְהָיָה","Hebrew weqatal construction. Converts one-time story into permanent pattern."
"every time, whenever","כָּל־פַּעַם","Hebrew phrase: every + time."
"that, which (relativizer)","אֲשֶׁר","Hebrew relativizer."
"they tremble","יִרְעֲדוּ","Hebrew imperfect. Future/habitual trembling."
"thereafter, from here on","מִכָּאן וָהָלְאָה","Hebrew phrase: from-here and-onward."
"they shall seize","וְאָחֲזוּ","Hebrew weqatal for consequential future action."
"their cups","מִנִיקְוָאגַנֵיהֶם","Algonquian stem for 'cups' + Hebrew possessive suffix -הֶם. Hybrid morphology."
"they shall stand","וְעָמְדוּ","Hebrew weqatal."
"far, distant","רָחוֹק","Hebrew adjective."
"stove, fire, hearth","אִישְׁקוֹטֵאוּ","Algonquian ishkotew. The fire/cooking place."
"they shall look, gaze","וְהִבִּיטוּ","Hebrew weqatal."
"table","שֻׁלְחָן","Hebrew shulchan. Furniture vocabulary."
"at the table (locative)","שֻׁלְחָנִינְק","Hebrew noun + Algonquian locative suffix."
"person (singular)","לֵנוּ","Lenape lənuw. Base form before plural."
"we (1st person prefix)","נְ־ / נֶ־","Algonquian person prefix. Attaches to verbs and possessed nouns."
"you (2nd person prefix)","קְ־ / כְּ־","Algonquian person prefix."
"s/he (3rd person prefix)","וְ־","Algonquian person prefix."
"locative suffix","־ינְק / ־ֶנְק","Algonquian suffix marking place: in, at, on, beside."
"diminutive suffix","־אֵשׁ / ־שׁ","Algonquian suffix for smallness, endearment, young age."
"obviative suffix","־וָא","Algonquian suffix marking 'the other one' in discourse tracking."
"animate plural suffix","־אַק / ־וָאק","Algonquian suffix for plural of animate nouns."
"and (conjunction)","וְ־ / וּ־","Hebrew conjunction. The thread stitching clauses together."
"in, at, with (preposition)","בְּ־","Hebrew clitic preposition."
"to, for (preposition)","לְ־","Hebrew clitic preposition."
"from (preposition)","מִ־ / מִן","Hebrew clitic preposition."
"the (definite article)","הַ־ / ה־","Hebrew definite article. Attaches happily to Algonquian nouns."
"that, which (relativizer)","שֶׁ־","Hebrew clitic relativizer."
"behold, look","הִנֵּה","Hebrew discourse particle. Presentative."
"indeed, surely","הֲרֵי","Hebrew discourse particle. Emphatic."
"also, too","גַּם","Hebrew discourse particle. Additive."
"only, just","רַק","Hebrew discourse particle. Restrictive."
"already","כְּבָר","Hebrew discourse particle. Perfective aspect."
"still, yet, more","עוֹד","Hebrew discourse particle. Continuative."
"perhaps, maybe","אוּלַי","Hebrew discourse particle. Modal."
"now","עַתָּה","Hebrew temporal particle."
"always, continually","תָּמִיד","Hebrew temporal particle. Habitual aspect."
"Mahikanítakh (Hudson Valley)","מַהִיקַנִּיטָאךְ","Hybrid name: Mahican Mahicannituck ('river that flows both ways') + Hebrew territorial suffix -ítakh. The homeland."
"rabbi, teacher","רַב","Hebrew rav. Religious vocabulary."
"blessing","בְּרָכָה","Hebrew b'rakhah. Religious vocabulary."
"peace","שָׁלוֹם","Hebrew shalom. Greeting and concept."
"prayer, to pray","תְּפִלָּה / לְהִתְפַּלֵּל","Hebrew religious vocabulary."
"Torah, teaching","תּוֹרָה","Hebrew. Core religious concept."
"commandment","מִצְוָה","Hebrew mitzvah. Ethical-religious vocabulary."
"holy, sacred","קָדוֹשׁ","Hebrew kadosh. Religious vocabulary."
"Sabbath","שַׁבָּת","Hebrew shabbat. Calendar vocabulary."
"coffee","קָאפֵּיוָאבּוֹ","Algonquian kaapewabo. Beverage vocabulary."
"tea","אַנִיבִּישָׁאבוֹ","Algonquian anibiishaabo. Beverage vocabulary."
"maple syrup","אִינִינָאטִיגוֹ נָאמִינָאס","Algonquian ininaatigo naaminas. Food vocabulary of the land."
"honey","אָמוֹ־סִיזִיבָּאקְוַאד","Algonquian aamo-sizibaakwad. Sweet vocabulary."
"corn","מַנְדָּאמִין","Algonquian mandaamin. Agricultural vocabulary."
"rabbit","וָאבוֹז","Algonquian waaboz. Animal vocabulary."
"little rabbit (diminutive)","וָאבוֹזְס","Rabbit + diminutive -ס."
"dog","אַנִימוֹשׁ","Algonquian animosh. Animal vocabulary."
"cat","קָאג׳אַגֶנְס","Algonquian kaajagens. Animal vocabulary."
"bird","פִּינֶשִׁינְג׳","Algonquian pineshiinj. Animal vocabulary."
"eagle feather","קִינִיו מִיגְוַאן","Algonquian kiniw miigwan. Ceremonial vocabulary."
"drum","טֶוֶוהִיגַן","Algonquian tewehigan. Ceremonial vocabulary."
"tobacco","נַאסֵמָא","Algonquian nasemaa. Sacred medicine."
"cedar","קִיזִ׳יק","Algonquian kiijik. Sacred medicine."
"sweetgrass","נוֹקְוֶוַאשְׁק","Algonquian nokwewashk. Sacred medicine."
"sage","אַפָּאבוֹוַאשְׁק","Algonquian apabowashk. Sacred medicine."
"elder","קִיטִיזִי","Algonquian kitizi. Kinship/respect vocabulary."
"friend","וִידְ׳ג׳יקִיוֶוֵי","Algonquian wiijikiwewe. Social vocabulary."
"neighbor","וִידְ׳ג׳יגֶנְדָּאגַן","Algonquian wiijigendaagan. Social vocabulary."
"wife, husband, spouse","וִידִיגֶמָאגַן","Algonquian wiidigemaaagan. Kinship vocabulary."
"ancestor(s)","אָנִיקֶה־מִישׁוֹמִיסִינָאבַנֶג","Algonquian aanike-mishoomisinabaneg. Kinship vocabulary."
"mountain","פִּיקְוַאדִין","Algonquian pikwaadin. Land vocabulary."
"sunset","פַּאנְגִישִׁימוֹ","Algonquian pangishimo. Time/nature vocabulary."
"sunrise","מוֹקַאהַם","Algonquian mookaham. Time/nature vocabulary."
"full moon","מוֹשְׁקִינֶה אַפְּקִיזִי טִיבִּיק־קִיזִיס","Algonquian: full + shines + night-sun. Astronomical vocabulary."
"flower","וָאבִיגוֹן","Algonquian waabigon. Plant vocabulary."
"seeds","מִינִיקַאן","Algonquian miinikan. Agricultural vocabulary."
"to work","אוֹנְדַאמִיטַא","Algonquian ondamita. Action vocabulary."
"to play","אוֹדַאמִינוֹ","Algonquian odamino. Action vocabulary."
"to sleep","נִיבָּא","Algonquian nibaa. Action vocabulary."
"to wake up","קוֹשְׁקוֹזִי","Algonquian koshkozi. Action vocabulary."
"to laugh","פָּאפִּי","Algonquian paapi. Emotional vocabulary."
"to cry","מַאוִוי","Algonquian mawi. Emotional vocabulary."
"to smile","פַּאפִּינְגְוֶנִי","Algonquian papingweni. Emotional vocabulary."
"happy","פָּאפִּינֶנִינְדַאם","Algonquian paapinenindam. Emotional vocabulary."
"sad","קַאשְׁקֶנִינְדַאם","Algonquian kashkenindam. Emotional vocabulary."
"angry","נִישְׁקַאדִיסִי","Algonquian nishkaadisi. Emotional vocabulary."
"hello, greetings","בּוּז׳וּ","Ojibwe boozhoo. Greeting from Central Algonquian."
"thank you","מִיגְוֶוץ׳","Ojibwe miigwech. Gratitude vocabulary."
"how? why?","אָאנִין","Ojibwe aaniin. Question word."
"when?","אָאנִין אַפִּי","Ojibwe aaniin apii. Question word."
"star","אַלַּאנְקְוֶה","Lenape allanque. Astronomical vocabulary."
"tomorrow","אַלַאפַּא","Lenape alappa. Time vocabulary."
"today","הַיּוֹם / אֶלֶמִי","Hebrew hayyom for abstract time; Lenape elemi for 'sometime today.'"
"who? somebody","אַוּוֶן","Lenape auwen. Question/indefinite pronoun."
"no, not","אַטַּא","Lenape atta. Negation."
"fog, mist","אַוּוֹן","Lenape awonn. Weather vocabulary."
"mud, clay","אַסִּיסְקוּ","Lenape assisku. Earth vocabulary."
"beast, animal","אַוֶוסִּיס","Lenape awessis. Animal vocabulary."
"river bend, in the bend of the river","אֶלֶמוּקוּלֶק","Lenape elemukulek. Geographic vocabulary."
"knife","מוֹקוֹמָאן","Algonquian mookoman. Tool vocabulary."
"spoon","אֶמִיקְוָאן","Algonquian emikwaan. Tool vocabulary."
"fork","פַּאדַאקַאהִיגַן","Algonquian padakahigan. Tool vocabulary."
"frying pan","סָאסֶקְוָאן","Algonquian saasekwaan. Cooking vocabulary."
"plate","אוֹנָאגַן","Algonquian onaagan. Dining vocabulary."
"stairs","אַקְוָאנְדַאוָאגַן","Algonquian akwaandawaagan. Architectural vocabulary."
"outside","אַגְוַאדְ׳ז׳ינְג","Algonquian agwaajiing. Spatial vocabulary."
"sweat lodge","מַאדוֹדִיסוֹן","Algonquian madoodison. Ceremonial vocabulary."
"pipe","אוֹפְּוָאגַן","Algonquian opwaagan. Ceremonial vocabulary."
"feast","מַאגוֹשֶׁוִוין","Algonquian magoshewin. Ceremonial vocabulary."
"ceremony","אִיזִ׳יטְוָאוִוין","Algonquian iijitwaawin. Ceremonial vocabulary."
"medicine man/woman","מַאשְׁקִיקִיוִוינִינִי / מַאשְׁקִיקִיקְוֶוֵי","Algonquian mashkikiiwininii / mashkikiikwe. Ceremonial vocabulary."
"teepee","פִּיקוֹגָאן","Algonquian pikogaan. Shelter vocabulary."
"pow wow, gathering day","מַאמַאנְדוֹסֶה קִיז׳יק","Algonquian mamandose kiijik. Ceremonial vocabulary."
"penny","סוֹמָאנִיקִי","Algonquian soomaniki. Money vocabulary."
"dollar (two)","נִיזְ׳ וָאבִּיק","Algonquian niij waabik. Money vocabulary."
"clock","טִיבַּאהִיגִיזִיסְוָאן","Algonquian tibahigiziswan. Time vocabulary."
"hour","טִיבַּאהִיגַן","Algonquian tibahigan. Time vocabulary."
"minute","טִיבַּאהִיגָאנְס","Algonquian tibahigaans. Time vocabulary."
"second (time)","פִּיסִי־טִיבַּאהִיגָאנְס","Algonquian pisi-tibahigaans. Time vocabulary."
"midnight","אָבִּיטָא־טִיבִּיקַד","Algonquian aabitaa-tibikad. Time vocabulary."
"prefix (grammatical term)","קַדְמָא","Hebrew-style grammatical term: 'that which comes before.'"
"suffix (grammatical term)","אַחְרָא","Hebrew-style grammatical term: 'that which comes after.'"
"verb (grammatical term)","פֹּעֲלָא / פֹּעַל","Hebrew po'al. Grammatical vocabulary."
"noun (grammatical term)","שֵׁם / שְׁמָא","Hebrew shem. Grammatical vocabulary."
"locative (grammatical term)","לוֹקָטִיב","Borrowed grammatical term."
"its meaning, it means","פֵּירוּשׁוֹ","Hebrew: its interpretation."
"word","מִלָּה","Hebrew millah. Metalinguistic vocabulary."
"language","לָשׁוֹן","Hebrew lashon. Metalinguistic vocabulary."
"peace and gratitude (closing)","שָׁלוֹם־וְאָנִי / וְלַאלִינְטַאם","Hybrid closing: Hebrew shalom + Algonquian gratitude."
